symbol,date,open,high,low,close,volume
BXPHARMA,2023-07-30,146.2,146.2,146.2,146.2,670.0
BXPHARMA,2023-07-31,146.2,146.2,146.2,146.2,117.0
BXPHARMA,2023-08-01,146.2,146.2,146.2,146.2,150.0
BXPHARMA,2023-08-02,146.2,146.2,146.2,146.2,176.0
BXPHARMA,2023-08-03,146.2,146.2,146.2,146.2,104.0
BXPHARMA,2023-08-06,146.2,146.2,146.2,146.2,42.0
BXPHARMA,2023-08-07,146.2,146.2,146.2,146.2,48.0
BXPHARMA,2023-08-08,146.2,146.2,146.2,146.2,681.0
BXPHARMA,2023-08-09,146.2,146.2,146.2,146.2,824.0
BXPHARMA,2023-08-10,146.2,146.2,146.2,146.2,1540.0
BXPHARMA,2023-08-13,146.2,146.2,146.2,146.2,277.0
BXPHARMA,2023-08-14,146.2,146.2,146.2,146.2,23.0
BXPHARMA,2023-08-16,146.2,146.2,146.2,146.2,475.0
BXPHARMA,2023-08-17,146.2,146.2,146.2,146.2,1735.0
BXPHARMA,2023-08-20,146.2,146.2,146.2,146.2,1501.0
BXPHARMA,2023-08-22,146.2,146.2,146.2,146.2,103.0
BXPHARMA,2023-08-23,146.2,146.2,146.2,146.2,3810.0
BXPHARMA,2023-08-24,146.2,146.2,146.2,146.2,100.0
BXPHARMA,2023-08-27,146.2,146.2,146.2,146.2,265.0
BXPHARMA,2023-08-28,146.2,146.2,146.2,146.2,96.0
BXPHARMA,2023-08-29,146.2,146.2,146.2,146.2,205.0
BXPHARMA,2023-08-30,146.2,146.2,146.2,146.2,250.0
BXPHARMA,2023-08-31,146.2,146.2,146.2,146.2,319.0
BXPHARMA,2023-09-03,146.2,146.2,146.2,146.2,36.0
BXPHARMA,2023-09-04,146.2,146.2,146.2,146.2,269.0
BXPHARMA,2023-09-05,146.2,146.2,146.2,146.2,187.0
BXPHARMA,2023-09-07,146.2,146.2,146.2,146.2,50.0
BXPHARMA,2023-09-11,146.2,146.2,146.2,146.2,250.0
BXPHARMA,2023-09-12,146.2,146.2,146.2,146.2,100.0
BXPHARMA,2023-09-13,146.2,146.2,146.2,146.2,445.0
BXPHARMA,2023-09-14,146.2,146.2,146.2,146.2,1402.0
BXPHARMA,2023-09-17,146.2,146.2,146.2,146.2,92.0
BXPHARMA,2023-09-18,146.2,146.2,146.2,146.2,2.0
BXPHARMA,2023-09-19,146.2,146.2,146.2,146.2,260.0
BXPHARMA,2023-09-20,146.2,146.2,146.2,146.2,80.0
BXPHARMA,2023-09-21,146.2,146.2,146.2,146.2,1037.0
BXPHARMA,2023-09-24,146.2,146.2,146.2,146.2,2.0
BXPHARMA,2023-09-25,146.2,146.2,146.2,146.2,58.0
BXPHARMA,2023-09-26,146.2,146.2,146.2,146.2,50.0
BXPHARMA,2023-09-27,146.2,146.2,146.2,146.2,80.0
BXPHARMA,2023-10-01,146.2,146.2,146.2,146.2,26.0
BXPHARMA,2023-10-02,146.2,146.2,146.2,146.2,54.0
BXPHARMA,2023-10-03,146.2,146.2,146.2,146.2,24.0
BXPHARMA,2023-10-04,146.2,146.2,146.2,146.2,99.0
BXPHARMA,2023-10-05,146.2,146.2,146.2,146.2,18.0
BXPHARMA,2023-10-08,146.2,146.2,146.2,146.2,20.0
BXPHARMA,2023-10-09,146.2,146.2,146.2,146.2,658.0
BXPHARMA,2023-10-10,146.2,146.2,146.2,146.2,125.0
BXPHARMA,2023-10-11,146.2,146.2,146.2,146.2,25.0
BXPHARMA,2023-10-12,146.2,146.2,146.2,146.2,47.0
BXPHARMA,2023-10-15,146.2,146.2,146.2,146.2,75.0
BXPHARMA,2023-10-16,146.2,146.2,146.2,146.2,2.0
BXPHARMA,2023-10-17,146.2,146.2,146.2,146.2,92.0
BXPHARMA,2023-10-18,146.2,146.2,146.2,146.2,7.0
BXPHARMA,2023-10-19,146.2,146.2,146.2,146.2,142.0
BXPHARMA,2023-10-22,146.2,146.2,146.2,146.2,2939.0
BXPHARMA,2023-10-23,146.2,146.2,146.2,146.2,83.0
BXPHARMA,2023-10-25,146.2,146.2,146.2,146.2,2822.0
BXPHARMA,2023-10-26,146.2,146.2,146.2,146.2,20.0
BXPHARMA,2023-10-29,146.2,146.2,146.2,146.2,21.0
BXPHARMA,2023-10-30,146.2,146.2,146.2,146.2,280.0
BXPHARMA,2023-10-31,146.2,146.2,146.2,146.2,105.0
BXPHARMA,2023-11-01,146.2,146.2,146.2,146.2,71.0
BXPHARMA,2023-11-02,146.2,146.2,146.2,146.2,299.0
BXPHARMA,2023-11-05,146.2,146.2,146.2,146.2,301.0
BXPHARMA,2023-11-06,146.2,146.2,146.2,146.2,40.0
BXPHARMA,2023-11-07,146.2,146.2,146.2,146.2,72.0
BXPHARMA,2023-11-08,146.2,146.2,146.2,146.2,170.0
BXPHARMA,2023-11-09,146.2,146.2,146.2,146.2,3559.0
BXPHARMA,2023-11-12,146.2,146.2,146.2,146.2,2658.0
BXPHARMA,2023-11-14,146.2,146.2,146.2,146.2,24.0
BXPHARMA,2023-11-15,146.2,146.2,146.2,146.2,2.0
BXPHARMA,2023-11-16,146.2,146.2,146.2,146.2,205.0
BXPHARMA,2023-11-19,146.2,146.2,146.2,146.2,31.0
BXPHARMA,2023-11-20,146.2,146.2,146.2,146.2,1157.0
BXPHARMA,2023-11-21,146.2,146.2,146.2,146.2,10.0
BXPHARMA,2023-11-22,146.2,146.2,146.2,146.2,51.0
BXPHARMA,2023-11-23,146.2,146.2,146.2,146.2,22.0
BXPHARMA,2023-11-26,146.2,146.2,146.2,146.2,72.0
BXPHARMA,2023-11-27,146.2,146.2,146.2,146.2,3.0
BXPHARMA,2023-11-28,146.2,146.2,146.2,146.2,31.0
BXPHARMA,2023-11-29,146.2,146.2,146.2,146.2,339.0
BXPHARMA,2023-12-04,146.2,146.2,146.2,146.2,211.0
BXPHARMA,2023-12-05,146.2,146.2,146.2,146.2,90.0
BXPHARMA,2023-12-06,146.2,146.2,146.2,146.2,55.0
BXPHARMA,2023-12-10,146.2,146.2,146.2,146.2,243.0
BXPHARMA,2023-12-11,146.2,146.2,146.2,146.2,595.0
BXPHARMA,2023-12-12,146.2,146.2,146.2,146.2,261.0
BXPHARMA,2023-12-13,146.2,146.2,146.2,146.2,174.0
BXPHARMA,2023-12-14,146.2,146.2,146.2,146.2,221.0
BXPHARMA,2023-12-17,146.2,146.2,146.2,146.2,85.0
BXPHARMA,2023-12-18,146.2,146.2,146.2,146.2,52.0
BXPHARMA,2023-12-19,146.2,146.2,146.2,146.2,61.0
BXPHARMA,2023-12-20,146.2,146.2,146.2,146.2,58.0
BXPHARMA,2023-12-21,146.2,146.2,146.2,146.2,67.0
BXPHARMA,2023-12-24,146.2,146.2,146.2,146.2,712.0
BXPHARMA,2023-12-26,146.2,146.2,146.2,146.2,6.0
BXPHARMA,2023-12-27,146.2,146.2,146.2,146.2,35.0
BXPHARMA,2023-12-28,146.2,146.2,146.2,146.2,1163.0
BXPHARMA,2024-01-01,146.2,146.2,146.2,146.2,419.0
BXPHARMA,2024-01-02,146.2,146.2,146.2,146.2,716.0
BXPHARMA,2024-01-03,146.2,146.2,146.2,146.2,149.0
BXPHARMA,2024-01-04,146.2,146.2,146.2,146.2,431.0
BXPHARMA,2024-01-08,146.2,146.2,146.2,146.2,101.0
BXPHARMA,2024-01-09,146.2,146.2,146.2,146.2,272.0
BXPHARMA,2024-01-10,146.2,146.2,146.2,146.2,30.0
BXPHARMA,2024-01-11,146.2,146.2,146.2,146.2,535.0
BXPHARMA,2024-01-14,146.2,146.2,146.2,146.2,4502.0
BXPHARMA,2024-01-15,146.2,146.2,146.2,146.2,2732.0
BXPHARMA,2024-01-16,146.2,146.2,146.2,146.2,255.0
BXPHARMA,2024-01-17,146.2,146.2,146.2,146.2,1833.0
BXPHARMA,2024-01-18,146.2,146.2,146.2,146.2,3626.0
BXPHARMA,2024-01-21,131.6,140.4,131.6,137.4,995493.0
BXPHARMA,2024-01-22,137.4,142.0,134.2,136.9,465606.0
BXPHARMA,2024-01-23,136.9,138.0,133.4,134.0,390675.0
BXPHARMA,2024-01-24,134.1,136.0,133.5,134.0,401400.0
BXPHARMA,2024-01-25,133.8,135.5,125.0,126.4,474098.0
BXPHARMA,2024-01-28,126.4,135.1,126.4,131.3,754707.0
BXPHARMA,2024-01-29,130.9,133.0,129.9,130.2,336012.0
BXPHARMA,2024-01-30,133.8,135.1,131.6,134.1,628774.0
BXPHARMA,2024-01-31,132.2,134.1,131.0,131.9,234038.0
BXPHARMA,2024-02-01,134.0,134.0,131.0,131.5,149591.0
BXPHARMA,2024-02-04,132.0,132.9,131.1,132.0,305355.0
BXPHARMA,2024-02-05,132.7,135.1,131.8,132.4,330692.0
BXPHARMA,2024-02-06,132.5,141.0,132.0,139.4,823032.0
BXPHARMA,2024-02-07,139.9,140.9,138.0,139.6,419900.0
BXPHARMA,2024-02-08,139.0,141.7,139.0,140.2,273045.0
BXPHARMA,2024-02-11,140.1,146.0,140.1,144.9,437975.0
BXPHARMA,2024-02-12,146.0,146.2,142.1,145.0,626047.0
BXPHARMA,2024-02-13,146.0,146.2,142.1,144.0,497937.0
BXPHARMA,2024-02-14,146.1,146.1,139.5,140.7,283638.0
BXPHARMA,2024-02-15,139.8,143.6,138.3,139.1,104269.0
BXPHARMA,2024-02-18,139.6,140.9,136.8,137.4,67792.0
BXPHARMA,2024-02-19,136.1,139.9,135.1,136.1,118564.0
BXPHARMA,2024-02-20,136.0,137.0,134.6,135.0,145007.0
BXPHARMA,2024-02-22,135.1,136.2,132.8,133.5,404720.0
BXPHARMA,2024-02-25,139.0,139.0,133.1,133.4,167252.0
BXPHARMA,2024-02-27,134.9,135.0,133.2,133.9,187580.0
BXPHARMA,2024-02-28,133.8,135.0,133.8,134.0,109248.0
BXPHARMA,2024-02-29,134.0,134.0,132.5,133.0,80669.0
BXPHARMA,2024-03-03,135.0,135.0,130.5,131.4,111576.0
BXPHARMA,2024-03-04,131.4,131.6,129.1,129.7,100676.0
BXPHARMA,2024-03-05,129.3,132.9,127.6,129.0,119980.0
BXPHARMA,2024-03-06,133.0,133.0,128.6,129.7,126973.0
BXPHARMA,2024-03-07,129.7,131.0,128.0,128.5,154754.0
BXPHARMA,2024-03-10,128.0,129.8,127.0,127.7,62385.0
BXPHARMA,2024-03-11,127.0,128.8,126.0,126.7,43487.0
BXPHARMA,2024-03-12,125.1,126.7,123.0,124.0,171134.0
BXPHARMA,2024-03-13,124.0,124.9,118.2,121.1,238145.0
BXPHARMA,2024-03-14,123.7,123.7,119.5,119.8,87470.0
BXPHARMA,2024-03-18,119.8,120.2,117.5,119.5,271132.0
BXPHARMA,2024-03-19,119.4,119.4,117.1,117.7,87811.0
BXPHARMA,2024-03-20,117.5,119.8,117.2,118.0,406630.0
BXPHARMA,2024-03-21,119.0,120.5,116.9,117.2,1039940.0
BXPHARMA,2024-03-24,118.5,124.0,117.5,119.7,219545.0
BXPHARMA,2024-03-25,119.7,119.7,116.9,117.5,146528.0
BXPHARMA,2024-03-27,118.8,118.8,113.5,114.4,158398.0
BXPHARMA,2024-03-28,114.4,115.9,113.5,114.6,98824.0
BXPHARMA,2024-03-31,114.6,117.0,114.6,116.4,89909.0
BXPHARMA,2024-04-01,116.5,116.5,112.6,113.4,88891.0
BXPHARMA,2024-04-02,113.5,113.5,110.0,111.4,53446.0
BXPHARMA,2024-04-03,112.9,113.1,111.4,112.7,112563.0
BXPHARMA,2024-04-04,118.9,119.0,113.0,117.1,194657.0
BXPHARMA,2024-04-08,119.0,120.0,114.2,120.0,280439.0
BXPHARMA,2024-04-09,120.2,120.8,118.0,119.6,123921.0
BXPHARMA,2024-04-15,119.5,119.6,117.0,118.3,162837.0
BXPHARMA,2024-04-16,118.9,120.1,117.5,119.3,113394.0
BXPHARMA,2024-04-17,120.4,120.4,119.0,119.5,101834.0
BXPHARMA,2024-04-18,119.4,119.4,116.0,117.7,124368.0
BXPHARMA,2024-04-21,116.0,119.6,116.0,118.9,150959.0
BXPHARMA,2024-04-22,118.2,121.0,116.4,119.2,190856.0
BXPHARMA,2024-04-23,120.0,120.3,118.1,119.0,124390.0
BXPHARMA,2024-04-24,120.9,120.9,115.5,116.6,91895.0
BXPHARMA,2024-04-25,115.6,119.2,113.2,116.1,144223.0
BXPHARMA,2024-04-28,115.0,120.1,113.2,119.7,108792.0
BXPHARMA,2024-04-29,121.2,121.2,116.2,116.6,74645.0
BXPHARMA,2024-04-30,119.2,119.9,116.4,119.0,123704.0
BXPHARMA,2024-05-02,118.5,119.2,117.0,118.4,105753.0
BXPHARMA,2024-05-05,118.4,126.8,118.4,124.4,329791.0
BXPHARMA,2024-05-06,126.7,130.4,124.2,127.3,273497.0
BXPHARMA,2024-05-07,129.0,130.0,124.1,124.8,415991.0
BXPHARMA,2024-05-08,126.8,126.8,123.3,124.6,97297.0
BXPHARMA,2024-05-09,126.8,126.8,121.3,121.9,159671.0
BXPHARMA,2024-05-12,125.3,125.3,122.5,124.1,74181.0
BXPHARMA,2024-05-13,126.2,126.2,122.2,122.4,70876.0
BXPHARMA,2024-05-14,124.4,124.4,119.1,119.3,108459.0
BXPHARMA,2024-05-15,119.5,119.8,116.7,118.1,40792.0
BXPHARMA,2024-05-16,118.4,121.3,117.0,118.9,55821.0
BXPHARMA,2024-05-19,117.5,118.9,115.4,115.4,124652.0
BXPHARMA,2024-05-20,112.2,115.0,112.0,112.7,165385.0
BXPHARMA,2024-05-21,112.8,116.3,110.9,111.7,91490.0
BXPHARMA,2024-05-23,110.2,116.0,109.0,109.3,95609.0
BXPHARMA,2024-05-26,115.4,115.4,106.1,106.9,106802.0
BXPHARMA,2024-05-27,110.6,112.9,107.0,111.3,166025.0
BXPHARMA,2024-05-28,114.0,114.7,109.5,112.7,145316.0
BXPHARMA,2024-05-29,113.4,113.4,109.4,109.4,62404.0
BXPHARMA,2024-05-30,109.3,112.9,107.1,109.1,109993.0
BXPHARMA,2024-06-02,109.1,111.9,108.5,108.5,44180.0
BXPHARMA,2024-06-03,110.4,110.4,107.2,108.0,62824.0
BXPHARMA,2024-06-04,108.0,111.0,107.1,109.9,168123.0
BXPHARMA,2024-06-05,107.6,111.8,107.6,108.0,67468.0
BXPHARMA,2024-06-06,107.5,108.0,105.0,106.8,123453.0
BXPHARMA,2024-06-09,105.2,107.5,103.7,104.0,84937.0
BXPHARMA,2024-06-10,105.0,105.0,101.5,102.8,97247.0
BXPHARMA,2024-06-11,102.0,105.8,99.8,100.4,205400.0
BXPHARMA,2024-06-12,99.5,102.8,99.4,102.0,131329.0
BXPHARMA,2024-06-13,105.6,106.7,100.2,105.1,67677.0
BXPHARMA,2024-06-19,106.0,106.0,103.0,104.2,42130.0
BXPHARMA,2024-06-20,107.5,107.5,104.2,105.7,42351.0
BXPHARMA,2024-06-23,107.0,107.4,102.7,103.3,71378.0
BXPHARMA,2024-06-24,103.8,104.4,102.1,103.5,70508.0
BXPHARMA,2024-06-25,103.0,106.2,103.0,105.5,103939.0
BXPHARMA,2024-06-26,106.6,112.0,105.1,111.1,490709.0
BXPHARMA,2024-06-27,112.0,117.1,111.1,116.1,493435.0
BXPHARMA,2024-06-30,114.0,121.6,112.7,118.1,757012.0
BXPHARMA,2024-07-02,118.0,122.5,114.9,121.0,472368.0
BXPHARMA,2024-07-03,120.0,124.6,120.0,123.7,323881.0
BXPHARMA,2024-07-04,125.0,127.0,123.7,124.9,356594.0
BXPHARMA,2024-07-07,125.1,126.4,122.5,123.1,289869.0
BXPHARMA,2024-07-08,121.7,124.9,121.0,122.0,157933.0
BXPHARMA,2024-07-09,124.5,124.5,121.1,122.7,150551.0
BXPHARMA,2024-07-10,123.0,125.9,121.3,124.3,409263.0
BXPHARMA,2024-07-11,124.0,124.0,120.6,120.6,181343.0
BXPHARMA,2024-07-14,121.9,121.9,117.0,119.7,131803.0
BXPHARMA,2024-07-15,121.0,121.0,117.2,118.5,175242.0
BXPHARMA,2024-07-16,118.5,119.0,115.0,115.5,134199.0
BXPHARMA,2024-07-18,117.9,117.9,112.1,113.6,163426.0
BXPHARMA,2024-07-24,113.6,119.4,110.2,110.2,64336.0
BXPHARMA,2024-07-25,108.6,114.8,108.6,114.1,86814.0
BXPHARMA,2024-07-28,115.7,115.7,111.5,112.4,61162.0
BXPHARMA,2024-07-29,111.5,113.7,109.1,109.1,176586.0
BXPHARMA,2024-07-30,106.7,107.9,105.9,106.9,270982.0
BXPHARMA,2024-07-31,103.7,112.0,103.7,106.3,244323.0
BXPHARMA,2024-08-01,106.3,110.0,106.3,108.4,261612.0
BXPHARMA,2024-08-04,106.6,106.6,105.2,105.2,190302.0
BXPHARMA,2024-08-06,102.5,106.0,102.1,102.1,16708.0
BXPHARMA,2024-08-07,99.1,99.1,99.1,99.1,207948.0
BXPHARMA,2024-08-08,96.2,96.2,96.2,96.2,335716.0
BXPHARMA,2024-08-11,93.4,93.4,93.4,93.4,432633.0
BXPHARMA,2024-08-12,90.6,90.6,90.6,90.6,33793.0
BXPHARMA,2024-08-13,87.9,87.9,87.9,87.9,35980.0
BXPHARMA,2024-08-14,85.3,93.6,85.3,88.0,5679711.0
BXPHARMA,2024-08-15,88.0,91.0,85.4,85.4,903938.0
BXPHARMA,2024-08-18,82.9,82.9,82.9,82.9,198652.0
BXPHARMA,2024-08-19,80.5,80.5,80.5,80.5,265391.0
BXPHARMA,2024-08-20,78.1,78.1,78.1,78.1,228959.0
BXPHARMA,2024-08-21,75.8,75.8,75.8,75.8,117674.0
BXPHARMA,2024-08-22,73.6,73.6,73.6,73.6,175046.0
BXPHARMA,2024-08-25,71.4,77.1,71.4,74.9,2135755.0
BXPHARMA,2024-08-27,75.0,81.5,73.8,79.0,1524347.0
BXPHARMA,2024-08-28,79.0,79.0,76.7,76.7,1947046.0
BXPHARMA,2024-08-29,74.0,79.0,74.0,76.2,1393048.0
BXPHARMA,2024-09-01,82.0,82.0,76.0,76.6,841571.0
BXPHARMA,2024-09-02,78.5,78.5,73.9,74.1,825685.0
BXPHARMA,2024-09-03,74.1,75.4,72.3,72.8,470055.0
BXPHARMA,2024-09-04,74.5,75.6,72.4,73.3,443030.0
BXPHARMA,2024-09-05,74.0,77.5,73.0,76.5,740427.0
BXPHARMA,2024-09-08,78.9,79.8,76.5,77.8,1224336.0
BXPHARMA,2024-09-09,78.0,78.0,73.1,74.1,812027.0
BXPHARMA,2024-09-10,75.5,75.9,73.5,74.9,469557.0
BXPHARMA,2024-09-11,76.2,78.0,74.9,75.3,720344.0
BXPHARMA,2024-09-12,75.3,77.3,75.0,76.5,1001689.0
BXPHARMA,2024-09-15,78.0,78.0,75.0,75.4,433236.0
BXPHARMA,2024-09-17,75.4,76.2,73.0,73.4,693492.0
BXPHARMA,2024-09-18,74.2,74.6,73.1,73.6,378652.0
BXPHARMA,2024-09-19,73.5,75.2,73.2,74.0,422316.0
BXPHARMA,2024-09-22,74.8,75.3,73.2,73.5,350497.0
BXPHARMA,2024-09-23,73.5,75.1,73.5,74.3,552867.0
BXPHARMA,2024-09-24,74.2,75.5,72.0,72.6,687845.0
BXPHARMA,2024-09-25,73.8,73.8,71.7,71.9,428581.0
BXPHARMA,2024-09-26,71.7,72.7,70.8,71.3,350601.0
BXPHARMA,2024-09-29,71.3,73.6,70.7,73.0,319380.0
BXPHARMA,2024-09-30,73.0,73.6,72.3,73.0,402836.0
BXPHARMA,2024-10-01,73.0,73.4,70.2,70.5,621865.0
BXPHARMA,2024-10-02,70.5,70.5,64.6,65.3,1310673.0
BXPHARMA,2024-10-03,64.3,68.3,64.2,67.5,525816.0
BXPHARMA,2024-10-06,67.1,70.4,67.1,69.5,587868.0
BXPHARMA,2024-10-07,69.5,73.3,68.5,70.1,689889.0
BXPHARMA,2024-10-08,70.1,72.4,69.0,70.8,470117.0
BXPHARMA,2024-10-09,71.6,73.6,70.9,73.3,525683.0
BXPHARMA,2024-10-14,73.5,74.6,70.0,70.9,951573.0
BXPHARMA,2024-10-15,70.5,72.7,70.5,72.4,335937.0
BXPHARMA,2024-10-16,70.9,72.8,70.0,70.7,263035.0
BXPHARMA,2024-10-17,72.0,74.0,72.0,72.9,700608.0
BXPHARMA,2024-10-20,74.3,74.5,71.2,71.9,206545.0
BXPHARMA,2024-10-21,71.3,72.5,70.7,71.1,270658.0
BXPHARMA,2024-10-22,71.1,72.5,71.0,71.4,255279.0
BXPHARMA,2024-10-23,71.4,72.8,69.4,69.9,160629.0
BXPHARMA,2024-10-24,70.5,72.1,68.6,71.7,553147.0
BXPHARMA,2024-10-27,70.5,71.0,68.8,69.4,119269.0
BXPHARMA,2024-10-28,69.5,71.1,68.4,69.9,287968.0
BXPHARMA,2024-10-29,72.8,73.7,71.6,73.0,639666.0
BXPHARMA,2024-10-30,73.6,74.2,73.3,73.7,731335.0
BXPHARMA,2024-10-31,74.0,74.6,72.8,74.0,355212.0
BXPHARMA,2024-11-03,74.0,75.4,74.0,74.2,312896.0
BXPHARMA,2024-11-04,74.4,74.7,73.3,74.1,329706.0
BXPHARMA,2024-11-05,74.2,77.8,74.2,76.1,1059692.0
BXPHARMA,2024-11-06,74.1,78.7,72.8,77.6,1469618.0
BXPHARMA,2024-11-07,77.6,83.0,76.7,82.5,2454405.0
BXPHARMA,2024-11-10,83.4,84.4,81.0,82.7,819309.0
BXPHARMA,2024-11-11,82.7,84.5,81.3,83.8,1189059.0
BXPHARMA,2024-11-12,84.2,89.8,84.0,86.0,1606160.0
BXPHARMA,2024-11-13,86.0,86.5,83.8,84.5,952981.0
BXPHARMA,2024-11-14,85.5,89.5,85.4,89.2,1845039.0
BXPHARMA,2024-11-17,89.2,93.3,88.3,91.4,1188734.0
BXPHARMA,2024-11-18,92.0,92.6,86.4,86.9,1330723.0
BXPHARMA,2024-11-19,86.9,88.7,84.0,84.5,1141912.0
BXPHARMA,2024-11-20,84.5,85.5,81.8,82.4,1017849.0
BXPHARMA,2024-11-21,82.5,83.0,79.6,79.8,1209363.0
BXPHARMA,2024-11-24,81.0,82.4,79.4,80.9,1004531.0
BXPHARMA,2024-11-26,78.5,80.9,77.5,80.1,963321.0
BXPHARMA,2024-11-27,81.0,84.8,81.0,84.1,585011.0
BXPHARMA,2024-11-28,84.2,87.7,84.2,86.9,992601.0
BXPHARMA,2024-12-01,87.0,87.4,84.2,84.9,499164.0
BXPHARMA,2024-12-02,84.5,85.8,82.4,82.9,755862.0
BXPHARMA,2024-12-03,83.5,83.8,81.0,82.6,644559.0
BXPHARMA,2024-12-04,81.5,84.2,81.5,83.2,579539.0
BXPHARMA,2024-12-05,83.8,83.8,81.7,82.1,489865.0
BXPHARMA,2024-12-08,82.1,83.4,81.4,82.9,446985.0
BXPHARMA,2024-12-09,83.0,83.8,83.0,83.5,402535.0
BXPHARMA,2024-12-10,84.0,86.0,82.9,85.6,1214553.0
BXPHARMA,2024-12-11,85.4,88.1,84.1,86.4,1132397.0
BXPHARMA,2024-12-12,86.0,86.5,83.7,84.3,608852.0
BXPHARMA,2024-12-15,84.7,85.3,83.5,84.2,425951.0
BXPHARMA,2024-12-17,84.0,87.5,84.0,84.5,861216.0
BXPHARMA,2024-12-18,85.0,86.2,84.2,85.0,944987.0
BXPHARMA,2024-12-19,85.8,85.8,84.7,85.0,430549.0
BXPHARMA,2024-12-22,85.4,85.8,82.8,83.1,279798.0
BXPHARMA,2024-12-23,83.3,84.0,81.0,81.6,329183.0
BXPHARMA,2024-12-24,82.5,83.7,80.4,81.0,454702.0
BXPHARMA,2024-12-26,82.3,82.3,80.3,81.4,230014.0
BXPHARMA,2024-12-29,82.2,83.2,81.8,82.1,508835.0
BXPHARMA,2024-12-30,82.4,82.7,81.0,81.6,493934.0
BXPHARMA,2025-01-01,82.4,82.4,81.0,81.2,353299.0
BXPHARMA,2025-01-02,81.6,81.6,77.7,78.2,447959.0
BXPHARMA,2025-01-05,78.8,80.3,78.7,78.9,163150.0
BXPHARMA,2025-01-06,79.0,80.2,78.3,79.7,254330.0
BXPHARMA,2025-01-07,80.4,80.4,78.8,79.0,500218.0
BXPHARMA,2025-01-08,79.1,79.1,78.2,78.5,285218.0
BXPHARMA,2025-01-09,78.5,78.8,78.0,78.2,566543.0
BXPHARMA,2025-01-12,78.2,78.5,77.5,77.6,190899.0
BXPHARMA,2025-01-13,77.7,78.1,74.5,75.3,260010.0
BXPHARMA,2025-01-14,76.5,76.5,74.9,75.6,406342.0
BXPHARMA,2025-01-15,76.0,76.8,75.3,76.2,207225.0
BXPHARMA,2025-01-16,76.7,76.7,74.9,75.1,188891.0
BXPHARMA,2025-01-19,74.9,76.0,74.8,74.9,173536.0
BXPHARMA,2025-01-20,75.4,77.4,75.4,77.1,264237.0
BXPHARMA,2025-01-21,77.3,79.8,77.3,78.8,825041.0
BXPHARMA,2025-01-22,78.0,78.7,77.6,78.3,461960.0
BXPHARMA,2025-01-23,76.6,79.3,76.5,76.8,124045.0
BXPHARMA,2025-01-26,78.4,78.4,74.8,75.1,170650.0
BXPHARMA,2025-01-27,75.4,75.7,75.0,75.5,125006.0
BXPHARMA,2025-01-28,75.3,77.2,75.3,76.6,165082.0
BXPHARMA,2025-01-29,75.0,76.5,75.0,75.2,585558.0
BXPHARMA,2025-01-30,76.0,76.2,75.2,75.6,253205.0
BXPHARMA,2025-02-02,75.3,76.8,75.3,76.3,185837.0
BXPHARMA,2025-02-03,76.8,77.0,76.3,76.8,142290.0
BXPHARMA,2025-02-04,77.0,78.7,76.8,78.3,833135.0
BXPHARMA,2025-02-05,78.5,79.0,77.8,78.7,314546.0
BXPHARMA,2025-02-06,78.5,79.3,77.0,77.1,125633.0
BXPHARMA,2025-02-09,77.8,77.8,76.0,77.2,123074.0
BXPHARMA,2025-02-10,77.9,78.0,75.5,76.2,102030.0
BXPHARMA,2025-02-11,76.2,77.8,76.2,76.6,93148.0
BXPHARMA,2025-02-12,76.6,77.5,76.2,76.6,49331.0
BXPHARMA,2025-02-13,76.4,77.1,76.2,76.4,81492.0
BXPHARMA,2025-02-16,76.9,76.9,76.3,76.5,136896.0
BXPHARMA,2025-02-17,76.7,78.1,76.5,77.8,183807.0
BXPHARMA,2025-02-18,78.1,78.5,77.4,78.0,172656.0
BXPHARMA,2025-02-19,78.0,78.2,76.2,76.6,79361.0
BXPHARMA,2025-02-20,77.2,77.5,76.4,76.7,56329.0
BXPHARMA,2025-02-23,77.0,78.2,76.6,77.8,168963.0
BXPHARMA,2025-02-24,78.6,78.7,77.2,78.5,232063.0
BXPHARMA,2025-02-25,78.8,82.9,77.9,79.9,909984.0
BXPHARMA,2025-02-26,80.4,81.0,78.9,80.3,1189310.0
BXPHARMA,2025-02-27,80.8,80.8,78.3,78.6,352026.0
BXPHARMA,2025-03-02,78.6,80.0,78.4,79.2,89963.0
BXPHARMA,2025-03-03,79.4,79.8,78.8,79.0,277647.0
BXPHARMA,2025-03-04,79.9,79.9,78.0,78.3,65620.0
BXPHARMA,2025-03-05,79.0,79.7,78.2,79.5,135166.0
BXPHARMA,2025-03-06,79.8,79.8,78.1,78.3,43031.0
BXPHARMA,2025-03-09,78.0,79.0,78.0,78.5,74725.0
BXPHARMA,2025-03-10,79.0,81.5,78.2,81.0,394388.0
BXPHARMA,2025-03-11,81.0,82.8,80.6,81.0,137578.0
BXPHARMA,2025-03-12,81.0,81.5,80.8,81.3,577052.0
BXPHARMA,2025-03-13,81.9,81.9,79.9,81.1,648704.0
BXPHARMA,2025-03-16,81.0,82.5,80.6,81.2,156040.0
BXPHARMA,2025-03-17,81.5,82.7,80.6,82.4,690754.0
BXPHARMA,2025-03-18,81.4,81.9,80.6,80.9,138470.0
BXPHARMA,2025-03-19,81.5,83.5,80.9,83.0,639943.0
BXPHARMA,2025-03-20,83.0,88.2,83.0,87.2,1471323.0
