symbol,date,open,high,low,close,volume
PROVATIINS,2023-09-03,58.9,58.9,58.9,58.9,3635.0
PROVATIINS,2023-09-04,58.9,58.9,58.9,58.9,26.0
PROVATIINS,2023-09-05,58.9,58.9,58.9,58.9,13852.0
PROVATIINS,2023-09-07,58.9,58.9,58.9,58.9,21900.0
PROVATIINS,2023-09-10,58.9,58.9,58.9,58.9,2327.0
PROVATIINS,2023-09-11,58.9,58.9,58.9,58.9,12438.0
PROVATIINS,2023-09-12,58.9,58.9,58.9,58.9,10355.0
PROVATIINS,2023-09-13,58.9,58.9,58.9,58.9,174761.0
PROVATIINS,2023-09-14,58.9,58.9,58.9,58.9,98603.0
PROVATIINS,2023-09-17,58.9,64.7,58.9,64.7,6923475.0
PROVATIINS,2023-09-18,65.0,68.5,63.8,67.6,2598390.0
PROVATIINS,2023-09-19,67.6,71.0,64.7,65.4,4765012.0
PROVATIINS,2023-09-20,66.2,67.3,63.0,63.4,2118244.0
PROVATIINS,2023-09-21,63.0,64.0,60.2,61.1,2174538.0
PROVATIINS,2023-09-24,60.2,63.0,59.1,59.4,1103722.0
PROVATIINS,2023-09-25,59.5,63.1,58.9,62.1,1801462.0
PROVATIINS,2023-09-26,63.1,66.7,62.6,64.7,1991821.0
PROVATIINS,2023-09-27,65.0,66.4,62.0,64.8,1506093.0
PROVATIINS,2023-10-01,65.9,67.4,61.7,61.9,1202744.0
PROVATIINS,2023-10-02,61.2,65.5,61.2,64.0,1750705.0
PROVATIINS,2023-10-03,64.5,65.8,60.5,61.1,1361200.0
PROVATIINS,2023-10-04,62.0,62.7,60.4,61.3,642294.0
PROVATIINS,2023-10-05,61.9,62.2,59.9,60.2,457988.0
PROVATIINS,2023-10-08,60.1,60.5,58.9,58.9,1062840.0
PROVATIINS,2023-10-09,58.9,60.0,58.9,58.9,390559.0
PROVATIINS,2023-10-10,58.9,60.5,58.9,59.0,1866397.0
PROVATIINS,2023-10-11,59.8,59.8,58.9,58.9,345434.0
PROVATIINS,2023-10-12,58.9,60.7,58.9,59.2,1482586.0
PROVATIINS,2023-10-15,60.0,62.4,59.5,60.4,1372878.0
PROVATIINS,2023-10-16,60.6,62.9,60.6,61.5,1455945.0
PROVATIINS,2023-10-17,61.7,62.5,60.4,60.7,803454.0
PROVATIINS,2023-10-18,60.9,62.1,60.3,61.4,958446.0
PROVATIINS,2023-10-19,62.0,62.6,60.9,62.3,1267116.0
PROVATIINS,2023-10-22,65.9,68.5,62.7,63.1,3446585.0
PROVATIINS,2023-10-23,63.1,63.5,61.7,62.5,792926.0
PROVATIINS,2023-10-25,62.1,62.7,59.3,59.8,1488033.0
PROVATIINS,2023-10-26,59.8,60.2,58.9,59.2,1534881.0
PROVATIINS,2023-10-29,58.9,60.3,58.9,59.8,723303.0
PROVATIINS,2023-10-30,59.9,60.9,58.9,59.0,746892.0
PROVATIINS,2023-10-31,59.0,60.8,59.0,59.7,738534.0
PROVATIINS,2023-11-01,59.7,60.3,59.1,59.3,479064.0
PROVATIINS,2023-11-02,59.3,59.7,58.9,59.0,677649.0
PROVATIINS,2023-11-05,59.0,60.5,59.0,60.2,765632.0
PROVATIINS,2023-11-06,60.2,61.3,59.0,59.2,981281.0
PROVATIINS,2023-11-07,59.9,60.0,58.9,59.0,919195.0
PROVATIINS,2023-11-08,59.1,59.5,58.9,58.9,422540.0
PROVATIINS,2023-11-09,58.9,58.9,58.9,58.9,83075.0
PROVATIINS,2023-11-12,58.9,58.9,58.9,58.9,19562.0
PROVATIINS,2023-11-13,58.9,58.9,58.9,58.9,6629.0
PROVATIINS,2023-11-14,58.9,58.9,58.9,58.9,18973.0
PROVATIINS,2023-11-15,58.9,58.9,58.9,58.9,4450.0
PROVATIINS,2023-11-16,58.9,58.9,58.9,58.9,6556.0
PROVATIINS,2023-11-19,58.9,58.9,58.9,58.9,12856.0
PROVATIINS,2023-11-20,58.9,58.9,58.9,58.9,1051.0
PROVATIINS,2023-11-21,58.9,58.9,58.9,58.9,1578.0
PROVATIINS,2023-11-22,58.9,58.9,58.9,58.9,17.0
PROVATIINS,2023-11-23,58.9,58.9,58.9,58.9,158.0
PROVATIINS,2023-11-26,58.9,58.9,58.9,58.9,17.0
PROVATIINS,2023-11-27,58.9,58.9,58.9,58.9,133.0
PROVATIINS,2023-11-28,58.9,58.9,58.9,58.9,7.0
PROVATIINS,2023-11-29,58.9,58.9,58.9,58.9,15.0
PROVATIINS,2023-11-30,58.9,58.9,58.9,58.9,12.0
PROVATIINS,2023-12-03,58.9,58.9,58.9,58.9,521.0
PROVATIINS,2023-12-04,58.9,58.9,58.9,58.9,8267.0
PROVATIINS,2023-12-05,58.9,58.9,58.9,58.9,54.0
PROVATIINS,2023-12-06,58.9,58.9,58.9,58.9,6616.0
PROVATIINS,2023-12-07,58.9,58.9,58.9,58.9,3.0
PROVATIINS,2023-12-10,58.9,58.9,58.9,58.9,5676.0
PROVATIINS,2023-12-11,58.9,58.9,58.9,58.9,3440.0
PROVATIINS,2023-12-12,58.9,58.9,58.9,58.9,4528.0
PROVATIINS,2023-12-13,58.9,60.0,58.9,58.9,1568670.0
PROVATIINS,2023-12-14,58.9,58.9,58.9,58.9,176980.0
PROVATIINS,2023-12-17,58.9,58.9,58.9,58.9,8344.0
PROVATIINS,2023-12-18,58.9,58.9,58.9,58.9,963.0
PROVATIINS,2023-12-19,58.9,58.9,58.9,58.9,863.0
PROVATIINS,2023-12-20,58.9,58.9,58.9,58.9,2501.0
PROVATIINS,2023-12-21,58.9,58.9,58.9,58.9,5558.0
PROVATIINS,2023-12-24,58.9,58.9,58.9,58.9,5000.0
PROVATIINS,2023-12-26,58.9,58.9,58.9,58.9,3645.0
PROVATIINS,2023-12-27,58.9,58.9,58.9,58.9,5258.0
PROVATIINS,2023-12-28,58.9,58.9,58.9,58.9,53930.0
PROVATIINS,2024-01-01,58.9,58.9,58.9,58.9,321980.0
PROVATIINS,2024-01-02,58.9,59.2,58.9,58.9,602550.0
PROVATIINS,2024-01-03,58.9,58.9,58.9,58.9,713.0
PROVATIINS,2024-01-04,58.9,58.9,58.9,58.9,101.0
PROVATIINS,2024-01-08,58.9,58.9,58.9,58.9,16675.0
PROVATIINS,2024-01-09,58.9,58.9,58.9,58.9,293.0
PROVATIINS,2024-01-10,58.9,58.9,58.9,58.9,851.0
PROVATIINS,2024-01-11,58.9,58.9,58.9,58.9,3930.0
PROVATIINS,2024-01-14,58.9,59.7,58.9,58.9,1130633.0
PROVATIINS,2024-01-15,58.9,58.9,58.9,58.9,28191.0
PROVATIINS,2024-01-16,58.9,58.9,58.9,58.9,23067.0
PROVATIINS,2024-01-17,58.9,58.9,58.9,58.9,1708.0
PROVATIINS,2024-01-18,58.9,58.9,58.9,58.9,13232.0
PROVATIINS,2024-01-21,54.0,54.7,53.1,54.1,681926.0
PROVATIINS,2024-01-22,54.1,58.0,54.1,57.7,492019.0
PROVATIINS,2024-01-23,57.7,57.7,55.2,55.6,343066.0
PROVATIINS,2024-01-24,55.4,56.7,53.8,54.7,223403.0
PROVATIINS,2024-01-25,54.1,54.9,52.8,53.7,452194.0
PROVATIINS,2024-01-28,53.2,56.1,53.2,53.7,349069.0
PROVATIINS,2024-01-29,53.1,54.8,52.8,53.1,241252.0
PROVATIINS,2024-01-30,53.2,54.4,52.3,52.9,211189.0
PROVATIINS,2024-01-31,52.7,54.6,52.7,53.3,266752.0
PROVATIINS,2024-02-01,53.1,53.8,52.6,52.8,314815.0
PROVATIINS,2024-02-04,52.5,55.8,52.5,55.0,530961.0
PROVATIINS,2024-02-05,54.9,56.5,54.5,54.8,358973.0
PROVATIINS,2024-02-06,54.8,55.6,54.0,54.2,233635.0
PROVATIINS,2024-02-07,54.4,54.8,53.3,53.5,354382.0
PROVATIINS,2024-02-08,53.5,55.4,53.5,54.2,355528.0
PROVATIINS,2024-02-11,54.9,54.9,53.8,53.9,427442.0
PROVATIINS,2024-02-12,54.0,54.4,53.5,53.6,296993.0
PROVATIINS,2024-02-13,54.4,54.4,52.8,52.9,300630.0
PROVATIINS,2024-02-14,52.8,53.5,52.1,52.3,170250.0
PROVATIINS,2024-02-15,52.6,53.2,51.9,52.0,128741.0
PROVATIINS,2024-02-18,52.4,54.0,52.1,52.3,368197.0
PROVATIINS,2024-02-19,53.0,53.0,51.0,51.4,155751.0
PROVATIINS,2024-02-20,51.0,53.3,50.3,50.8,243192.0
PROVATIINS,2024-02-22,50.3,52.1,49.7,50.1,231302.0
PROVATIINS,2024-02-25,50.1,51.2,49.8,49.9,95879.0
PROVATIINS,2024-02-27,49.7,50.5,49.5,49.9,112181.0
PROVATIINS,2024-02-28,49.6,50.8,49.6,49.8,142309.0
PROVATIINS,2024-02-29,49.7,51.6,49.7,50.1,179933.0
PROVATIINS,2024-03-03,50.0,51.4,49.0,49.1,209772.0
PROVATIINS,2024-03-04,48.7,49.5,48.7,48.8,236551.0
PROVATIINS,2024-03-05,49.5,49.5,48.2,48.3,122991.0
PROVATIINS,2024-03-06,48.4,50.0,48.4,49.7,193128.0
PROVATIINS,2024-03-07,49.7,50.1,48.5,48.7,125669.0
PROVATIINS,2024-03-10,49.2,49.5,48.1,48.9,138640.0
PROVATIINS,2024-03-11,48.7,49.4,46.8,47.2,72740.0
PROVATIINS,2024-03-12,49.0,49.0,45.5,46.0,50088.0
PROVATIINS,2024-03-13,45.8,46.9,44.5,44.8,93531.0
PROVATIINS,2024-03-14,45.3,46.7,44.8,45.2,125015.0
PROVATIINS,2024-03-18,46.2,46.2,43.1,43.5,36116.0
PROVATIINS,2024-03-19,43.1,43.9,41.6,42.6,40561.0
PROVATIINS,2024-03-20,43.5,43.5,42.5,42.9,59012.0
PROVATIINS,2024-03-21,43.5,44.4,43.2,44.0,55272.0
PROVATIINS,2024-03-24,43.2,44.5,43.0,43.3,55299.0
PROVATIINS,2024-03-25,41.3,43.6,41.3,42.0,45091.0
PROVATIINS,2024-03-27,41.5,43.2,39.9,40.1,85075.0
PROVATIINS,2024-03-28,39.3,41.8,39.3,40.4,51430.0
PROVATIINS,2024-03-31,39.6,41.4,39.6,40.9,67646.0
PROVATIINS,2024-04-01,41.7,41.7,39.7,39.9,100061.0
PROVATIINS,2024-04-02,40.8,40.8,38.5,39.3,52201.0
PROVATIINS,2024-04-03,39.6,41.0,39.4,40.5,41757.0
PROVATIINS,2024-04-04,40.4,41.0,39.6,40.1,101089.0
PROVATIINS,2024-04-08,41.9,41.9,40.8,41.0,69607.0
PROVATIINS,2024-04-09,41.5,43.5,40.6,43.4,203319.0
PROVATIINS,2024-04-15,42.1,44.0,42.1,42.5,116577.0
PROVATIINS,2024-04-16,42.0,42.5,41.2,41.7,98526.0
PROVATIINS,2024-04-17,42.4,42.4,40.3,40.9,57736.0
PROVATIINS,2024-04-18,40.9,40.9,39.4,39.9,90525.0
PROVATIINS,2024-04-21,39.6,41.0,39.2,40.0,64905.0
PROVATIINS,2024-04-22,40.0,40.9,40.0,40.2,54092.0
PROVATIINS,2024-04-23,40.2,40.7,39.0,39.3,79349.0
PROVATIINS,2024-04-24,39.6,39.8,38.2,38.3,70705.0
PROVATIINS,2024-04-25,38.0,38.3,37.2,37.2,54672.0
PROVATIINS,2024-04-28,37.5,38.2,36.9,37.8,74078.0
PROVATIINS,2024-04-29,38.0,39.5,37.2,37.4,95859.0
PROVATIINS,2024-04-30,37.5,38.8,37.0,37.2,67064.0
PROVATIINS,2024-05-02,37.3,37.8,36.9,37.6,62198.0
PROVATIINS,2024-05-05,37.6,39.8,37.6,39.5,153333.0
PROVATIINS,2024-05-06,40.2,40.6,39.6,40.0,170723.0
PROVATIINS,2024-05-07,39.5,40.6,39.0,39.3,160063.0
PROVATIINS,2024-05-08,38.7,39.9,38.2,38.3,127489.0
PROVATIINS,2024-05-09,37.6,38.5,37.6,37.9,82953.0
PROVATIINS,2024-05-12,37.8,39.6,37.5,38.4,136858.0
PROVATIINS,2024-05-13,38.4,41.4,38.4,40.9,424195.0
PROVATIINS,2024-05-14,39.8,41.1,39.7,39.8,244355.0
PROVATIINS,2024-05-15,39.0,40.4,38.8,38.9,97521.0
PROVATIINS,2024-05-16,40.0,40.0,37.8,38.2,92742.0
PROVATIINS,2024-05-19,37.5,37.9,37.1,37.1,54353.0
PROVATIINS,2024-05-20,36.1,36.4,36.0,36.0,81364.0
PROVATIINS,2024-05-21,37.2,37.2,35.0,35.1,92205.0
PROVATIINS,2024-05-23,34.9,34.9,34.1,34.1,39478.0
PROVATIINS,2024-05-26,33.1,35.0,33.1,33.1,49154.0
PROVATIINS,2024-05-27,33.1,34.6,32.3,33.9,123866.0
PROVATIINS,2024-05-28,35.8,35.8,33.0,33.3,50795.0
PROVATIINS,2024-05-29,33.0,33.2,32.4,32.4,57904.0
PROVATIINS,2024-05-30,32.4,33.5,31.8,32.4,15999.0
PROVATIINS,2024-06-02,34.8,34.8,32.3,32.5,80331.0
PROVATIINS,2024-06-03,32.7,32.7,31.6,32.5,36631.0
PROVATIINS,2024-06-04,34.5,34.5,32.2,32.5,80643.0
PROVATIINS,2024-06-05,33.9,33.9,32.1,33.2,319240.0
PROVATIINS,2024-06-06,32.6,34.0,32.3,32.6,233118.0
PROVATIINS,2024-06-09,33.4,33.4,31.7,31.7,41989.0
PROVATIINS,2024-06-10,30.8,31.3,30.8,30.8,52158.0
PROVATIINS,2024-06-11,30.0,30.9,29.9,29.9,44878.0
PROVATIINS,2024-06-12,30.0,30.2,29.1,29.6,80175.0
PROVATIINS,2024-06-13,30.1,30.2,29.2,29.9,42116.0
PROVATIINS,2024-06-19,31.2,31.2,30.2,30.8,40994.0
PROVATIINS,2024-06-20,31.2,32.3,30.8,31.9,152443.0
PROVATIINS,2024-06-23,32.8,32.8,31.0,31.3,83137.0
PROVATIINS,2024-06-24,31.8,31.8,30.4,30.6,45696.0
PROVATIINS,2024-06-25,31.6,31.6,30.3,30.6,41241.0
PROVATIINS,2024-06-26,31.5,32.0,30.6,31.8,89547.0
PROVATIINS,2024-06-27,31.3,33.1,31.3,32.8,156163.0
PROVATIINS,2024-06-30,32.8,32.8,31.9,32.0,62597.0
PROVATIINS,2024-07-02,32.4,33.8,31.7,33.5,140821.0
PROVATIINS,2024-07-03,33.9,34.3,33.1,33.6,119914.0
PROVATIINS,2024-07-04,33.2,35.2,33.2,34.9,179356.0
PROVATIINS,2024-07-07,35.3,36.5,34.5,35.9,135979.0
PROVATIINS,2024-07-08,35.5,38.8,35.5,38.1,507135.0
PROVATIINS,2024-07-09,38.8,39.1,37.0,38.9,203171.0
PROVATIINS,2024-07-10,39.5,39.5,37.8,37.8,174075.0
PROVATIINS,2024-07-11,38.7,38.7,36.7,36.7,108702.0
PROVATIINS,2024-07-14,36.0,37.4,35.6,35.6,65967.0
PROVATIINS,2024-07-15,36.6,36.6,35.0,35.5,49421.0
PROVATIINS,2024-07-16,36.5,36.5,35.0,35.3,31660.0
PROVATIINS,2024-07-18,34.4,35.0,34.3,34.3,80495.0
PROVATIINS,2024-07-24,33.5,33.5,33.3,33.3,35644.0
PROVATIINS,2024-07-25,35.3,35.3,32.4,33.9,34229.0
PROVATIINS,2024-07-28,34.9,34.9,32.9,33.1,75128.0
PROVATIINS,2024-07-29,34.0,34.0,32.2,32.2,102843.0
PROVATIINS,2024-07-30,31.5,31.5,31.3,31.3,71182.0
PROVATIINS,2024-07-31,33.0,33.5,31.5,32.8,174432.0
PROVATIINS,2024-08-01,32.8,34.4,32.8,34.2,170722.0
PROVATIINS,2024-08-04,33.3,33.3,33.2,33.2,77886.0
PROVATIINS,2024-08-06,33.0,35.8,33.0,34.0,192704.0
PROVATIINS,2024-08-07,34.0,36.4,33.0,35.3,256548.0
PROVATIINS,2024-08-08,36.5,38.8,34.9,38.8,388663.0
PROVATIINS,2024-08-11,39.9,42.4,37.8,39.5,604624.0
PROVATIINS,2024-08-12,38.6,40.8,38.4,38.5,274485.0
PROVATIINS,2024-08-13,38.5,39.7,37.4,39.2,147640.0
PROVATIINS,2024-08-14,40.3,40.7,38.5,38.7,214631.0
PROVATIINS,2024-08-15,39.7,39.7,38.1,38.5,68254.0
PROVATIINS,2024-08-18,37.8,39.9,37.4,37.4,60790.0
PROVATIINS,2024-08-19,39.0,39.0,36.4,36.6,94194.0
PROVATIINS,2024-08-20,37.9,37.9,36.5,36.7,94832.0
PROVATIINS,2024-08-22,35.9,35.9,35.6,35.6,91219.0
PROVATIINS,2024-08-25,38.0,38.0,34.6,34.7,53411.0
PROVATIINS,2024-08-27,34.1,35.5,33.7,33.7,83558.0
PROVATIINS,2024-08-28,34.9,35.5,33.7,35.3,49585.0
PROVATIINS,2024-08-29,35.2,35.9,34.8,35.5,76492.0
PROVATIINS,2024-09-01,36.0,36.8,35.5,35.9,115898.0
PROVATIINS,2024-09-02,35.6,36.6,35.6,35.7,61585.0
PROVATIINS,2024-09-03,36.1,36.1,34.6,34.8,54861.0
PROVATIINS,2024-09-04,34.5,36.0,34.0,34.3,35029.0
PROVATIINS,2024-09-05,34.4,34.8,34.0,34.2,54565.0
PROVATIINS,2024-09-08,35.0,35.0,33.0,33.1,49433.0
PROVATIINS,2024-09-09,32.6,33.1,32.0,32.9,74299.0
PROVATIINS,2024-09-10,32.2,33.4,32.2,32.8,57676.0
PROVATIINS,2024-09-11,34.4,34.4,32.0,32.6,39634.0
PROVATIINS,2024-09-12,32.5,33.1,32.2,32.6,47473.0
PROVATIINS,2024-09-15,33.9,33.9,32.4,32.5,74807.0
PROVATIINS,2024-09-17,33.5,33.5,32.1,32.6,120515.0
PROVATIINS,2024-09-18,33.2,33.3,32.0,32.4,96019.0
PROVATIINS,2024-09-19,32.1,33.8,32.1,33.5,219931.0
PROVATIINS,2024-09-22,34.5,34.9,33.5,33.6,153041.0
PROVATIINS,2024-09-23,33.8,33.9,32.6,32.8,110994.0
PROVATIINS,2024-09-24,32.6,33.4,32.6,32.8,57747.0
PROVATIINS,2024-09-25,32.5,33.2,31.1,31.4,115197.0
PROVATIINS,2024-09-26,32.5,32.5,29.9,30.5,51881.0
PROVATIINS,2024-09-29,29.7,32.0,29.7,30.2,55321.0
PROVATIINS,2024-09-30,31.8,31.8,30.3,31.2,23557.0
PROVATIINS,2024-10-01,31.6,31.6,30.1,30.3,77812.0
PROVATIINS,2024-10-02,29.8,30.4,29.2,29.7,106657.0
PROVATIINS,2024-10-03,29.9,30.0,28.9,29.4,68700.0
PROVATIINS,2024-10-06,29.5,29.9,28.8,29.3,30759.0
PROVATIINS,2024-10-07,29.6,30.0,27.6,28.3,104859.0
PROVATIINS,2024-10-08,28.5,28.5,26.4,26.6,256992.0
PROVATIINS,2024-10-09,27.3,28.7,26.6,28.1,217513.0
PROVATIINS,2024-10-14,28.3,29.6,28.3,28.9,209779.0
PROVATIINS,2024-10-15,28.4,28.7,27.0,27.3,252787.0
PROVATIINS,2024-10-16,27.4,28.6,27.0,28.1,93278.0
PROVATIINS,2024-10-17,28.4,28.4,27.0,27.6,92285.0
PROVATIINS,2024-10-20,27.9,28.4,26.4,27.4,131379.0
PROVATIINS,2024-10-21,27.7,28.4,26.7,28.0,183437.0
PROVATIINS,2024-10-22,28.4,29.8,28.2,29.4,368080.0
PROVATIINS,2024-10-23,29.5,29.8,27.5,27.9,71889.0
PROVATIINS,2024-10-24,27.3,27.8,25.2,26.4,76168.0
PROVATIINS,2024-10-27,25.7,26.4,24.7,24.8,129675.0
PROVATIINS,2024-10-28,24.2,25.1,24.0,24.5,60414.0
PROVATIINS,2024-10-29,23.9,25.7,23.9,25.3,33232.0
PROVATIINS,2024-10-30,25.6,27.8,25.6,27.8,96621.0
PROVATIINS,2024-10-31,28.3,28.8,27.6,27.9,187167.0
PROVATIINS,2024-11-03,27.9,29.4,27.9,28.1,164403.0
PROVATIINS,2024-11-04,28.0,28.7,27.7,28.3,72019.0
PROVATIINS,2024-11-05,29.5,30.3,28.5,29.6,183738.0
PROVATIINS,2024-11-06,30.0,30.0,28.7,28.8,93793.0
PROVATIINS,2024-11-07,28.6,29.2,28.0,28.1,61723.0
PROVATIINS,2024-11-10,27.9,28.4,27.5,27.7,40906.0
PROVATIINS,2024-11-11,28.2,29.0,27.8,29.0,112012.0
PROVATIINS,2024-11-12,29.1,31.6,29.0,31.1,496536.0
PROVATIINS,2024-11-13,31.4,33.0,30.6,32.7,380536.0
PROVATIINS,2024-11-14,33.0,34.5,32.0,33.2,638177.0
PROVATIINS,2024-11-17,32.7,33.6,32.1,32.7,228737.0
PROVATIINS,2024-11-18,33.1,34.4,32.7,33.2,397194.0
PROVATIINS,2024-11-19,33.8,36.5,33.3,36.1,1620141.0
PROVATIINS,2024-11-20,36.2,36.5,35.2,35.6,433901.0
PROVATIINS,2024-11-21,35.6,36.1,34.0,34.1,553037.0
PROVATIINS,2024-11-24,33.9,34.5,33.0,33.1,262300.0
PROVATIINS,2024-11-25,33.9,35.4,33.6,35.0,526738.0
PROVATIINS,2024-11-26,33.5,35.4,33.5,33.9,229812.0
PROVATIINS,2024-11-27,34.4,34.7,33.3,34.2,399527.0
PROVATIINS,2024-11-28,34.7,35.1,33.8,33.9,263324.0
PROVATIINS,2024-12-01,33.9,34.0,32.9,33.0,249904.0
PROVATIINS,2024-12-02,33.4,35.3,33.2,34.9,549327.0
PROVATIINS,2024-12-03,35.1,35.6,34.7,35.0,342167.0
PROVATIINS,2024-12-04,35.0,35.7,34.8,35.2,367155.0
PROVATIINS,2024-12-05,35.3,35.4,34.2,34.5,313141.0
PROVATIINS,2024-12-08,34.1,34.5,33.7,34.0,241508.0
PROVATIINS,2024-12-09,34.2,34.6,33.7,34.0,79593.0
PROVATIINS,2024-12-10,34.7,35.6,34.1,34.5,292604.0
PROVATIINS,2024-12-11,34.8,34.8,33.5,34.0,127954.0
PROVATIINS,2024-12-12,33.8,34.6,33.1,33.3,118212.0
PROVATIINS,2024-12-15,33.0,34.0,33.0,33.6,78954.0
PROVATIINS,2024-12-17,34.0,34.3,33.8,33.9,163728.0
PROVATIINS,2024-12-18,33.9,34.5,33.7,33.9,182925.0
PROVATIINS,2024-12-19,34.1,34.6,33.7,34.4,199748.0
PROVATIINS,2024-12-22,34.3,35.0,34.3,34.9,234288.0
PROVATIINS,2024-12-23,35.2,36.6,35.0,36.0,856908.0
PROVATIINS,2024-12-24,36.0,36.9,35.4,36.8,843424.0
PROVATIINS,2024-12-26,36.8,37.2,36.1,36.9,359380.0
PROVATIINS,2024-12-29,36.8,38.1,36.8,37.7,773935.0
PROVATIINS,2024-12-30,37.8,38.5,37.1,37.3,983793.0
PROVATIINS,2025-01-01,37.3,37.8,36.9,37.6,827037.0
PROVATIINS,2025-01-02,37.7,38.2,37.5,37.9,475238.0
PROVATIINS,2025-01-05,38.4,38.8,37.9,38.2,579147.0
PROVATIINS,2025-01-06,38.6,39.4,38.1,39.2,861243.0
PROVATIINS,2025-01-07,39.5,39.5,38.1,38.3,821665.0
PROVATIINS,2025-01-08,38.3,38.7,38.0,38.3,499550.0
PROVATIINS,2025-01-09,38.3,38.6,37.7,38.1,356950.0
PROVATIINS,2025-01-12,38.2,38.3,37.4,37.5,614396.0
PROVATIINS,2025-01-13,37.2,38.0,36.9,37.6,390480.0
PROVATIINS,2025-01-14,37.9,38.6,37.6,37.7,543148.0
PROVATIINS,2025-01-15,37.6,38.2,36.3,36.6,429151.0
PROVATIINS,2025-01-16,36.5,37.8,36.2,37.6,545763.0
PROVATIINS,2025-01-19,37.3,39.0,37.3,38.6,949771.0
PROVATIINS,2025-01-20,38.7,38.7,37.8,37.9,453402.0
PROVATIINS,2025-01-21,37.9,38.5,37.8,38.0,587431.0
PROVATIINS,2025-01-22,38.2,38.5,37.5,37.6,363504.0
PROVATIINS,2025-01-23,38.1,38.1,37.0,37.2,276776.0
PROVATIINS,2025-01-26,37.0,37.7,36.2,36.3,291820.0
PROVATIINS,2025-01-27,36.6,36.9,36.0,36.6,216518.0
PROVATIINS,2025-01-28,36.5,37.5,36.5,37.0,204247.0
PROVATIINS,2025-01-29,36.8,37.9,36.7,36.9,257946.0
PROVATIINS,2025-01-30,37.6,37.6,36.2,36.3,240139.0
PROVATIINS,2025-02-02,36.4,36.8,36.3,36.4,105290.0
PROVATIINS,2025-02-03,36.7,37.2,36.4,36.7,278776.0
PROVATIINS,2025-02-04,36.7,36.8,36.1,36.3,234996.0
PROVATIINS,2025-02-05,36.3,36.5,35.5,35.6,359400.0
PROVATIINS,2025-02-06,35.6,35.9,35.1,35.2,157712.0
PROVATIINS,2025-02-09,35.6,37.1,34.9,35.3,125746.0
PROVATIINS,2025-02-10,35.2,35.6,34.1,34.5,124919.0
PROVATIINS,2025-02-11,35.0,35.0,34.3,34.8,170708.0
PROVATIINS,2025-02-12,35.3,35.3,33.6,33.8,273387.0
PROVATIINS,2025-02-13,34.4,34.4,33.1,33.4,166790.0
PROVATIINS,2025-02-16,33.6,34.0,33.2,34.0,175131.0
PROVATIINS,2025-02-17,34.4,34.6,33.7,33.8,133560.0
PROVATIINS,2025-02-18,33.9,34.0,33.1,33.3,191621.0
PROVATIINS,2025-02-19,33.5,33.6,32.6,32.9,230082.0
PROVATIINS,2025-02-20,33.0,33.0,31.6,32.0,151355.0
PROVATIINS,2025-02-23,32.1,33.6,32.0,33.3,175474.0
PROVATIINS,2025-02-24,33.9,33.9,33.2,33.6,122270.0
PROVATIINS,2025-02-25,33.2,34.7,33.2,34.4,389323.0
PROVATIINS,2025-02-26,33.6,34.8,33.4,33.6,117694.0
PROVATIINS,2025-02-27,33.8,33.8,33.0,33.2,108822.0
PROVATIINS,2025-03-02,33.8,33.8,33.0,33.2,39192.0
PROVATIINS,2025-03-03,33.8,33.8,32.7,32.9,57080.0
PROVATIINS,2025-03-04,33.3,33.3,32.3,32.5,44567.0
PROVATIINS,2025-03-05,33.1,33.1,32.3,32.6,15852.0
PROVATIINS,2025-03-06,32.4,32.9,32.2,32.3,85401.0
PROVATIINS,2025-03-09,32.2,32.5,31.1,31.3,88550.0
PROVATIINS,2025-03-10,32.2,32.2,30.8,31.6,68567.0
PROVATIINS,2025-03-11,32.0,33.0,32.0,32.1,131855.0
PROVATIINS,2025-03-12,32.4,32.5,31.5,32.1,94515.0
PROVATIINS,2025-03-13,32.0,34.6,31.8,33.9,549811.0
PROVATIINS,2025-03-16,34.4,35.0,33.4,34.1,299503.0
PROVATIINS,2025-03-17,34.5,34.5,33.0,33.2,248288.0
PROVATIINS,2025-03-18,33.6,33.7,32.6,33.1,161295.0
PROVATIINS,2025-03-19,33.2,33.6,32.4,32.7,136714.0
PROVATIINS,2025-03-20,33.0,33.0,31.9,32.0,350804.0
PROVATIINS,2025-03-23,32.1,32.2,31.7,31.9,52577.0
PROVATIINS,2025-03-24,32.4,32.5,31.9,32.0,121516.0
PROVATIINS,2025-03-25,32.8,33.0,32.2,32.4,120912.0
PROVATIINS,2025-03-27,32.4,32.5,31.8,31.8,117563.0
PROVATIINS,2025-04-06,31.8,32.3,31.4,31.5,49639.0
PROVATIINS,2025-04-07,32.2,32.2,31.0,31.8,76763.0
PROVATIINS,2025-04-08,31.5,31.8,31.2,31.2,62467.0
PROVATIINS,2025-04-09,31.9,31.9,31.0,31.2,97205.0
PROVATIINS,2025-04-10,32.0,32.0,31.1,31.3,109027.0
PROVATIINS,2025-04-13,31.4,31.8,31.0,31.1,81124.0
PROVATIINS,2025-04-15,31.0,31.8,30.9,31.0,113721.0
PROVATIINS,2025-04-16,31.1,32.0,31.0,31.2,181888.0
PROVATIINS,2025-04-17,31.3,31.4,30.8,30.9,122020.0
PROVATIINS,2025-04-20,31.4,33.3,31.4,32.1,333235.0
PROVATIINS,2025-04-21,32.2,32.2,31.3,31.6,75607.0
PROVATIINS,2025-04-22,31.9,32.8,31.1,32.2,337442.0
